device,minibatch_games,worker_count,batches_completed,games_completed,army_gen_mean,army_gen_std,episode_collect_mean,episode_collect_std,gae_mean,gae_std,replay_forward_mean,replay_forward_std,loss_backward_mean,loss_backward_std,total_batch_mean,total_batch_std,games_per_sec,ppo_pct,sim_pct
cpu,16,2,5,2560,0.6260240189993056,0.2550737413192347,11.190185712800304,0.26708728599302944,0.35864486459759065,0.1423727152651958,6.784980716412247,0.15349290783631905,5.894217535197095,0.16808346586305284,24.87659624639782,0.3318387731802193,20.581593837385956,50.96838058560892,44.982784630034196
cpu,16,4,6,3072,0.7236429276660298,0.10486779442015838,7.473172535334015,0.19588215742749696,0.24817622683379645,0.013823519101547934,6.612780261840574,0.1047603437404921,5.840584682163656,0.169226478615515,20.921663230833172,0.393252438890347,24.47224173102276,59.52378071763989,35.719782184049656
cpu,16,6,6,3072,0.7411403246672611,0.16801613049867326,5.810395941164946,0.22130260876471036,0.27729759483554517,0.01642624012900496,7.0178741518235865,0.09230572885635276,6.099292192312229,0.0963389165839012,19.96929482566702,0.1773302867533974,25.639363055620468,65.68667776528595,29.0966505922718
cpu,32,2,5,2560,0.6876676171988947,0.12520207940021355,11.430186539403802,0.0780122212826046,0.26029731040034676,0.08349847998488696,6.3052845268059174,0.1415889055879593,4.939809072404751,0.0857272950717858,23.640749931002212,0.2174727831400959,21.657519388950053,47.566568878020156,48.349509100869874
cpu,32,4,6,3072,0.6855164358336575,0.19730985029747303,7.252846254001876,0.12488026172205438,0.298690770000879,0.09632191266341673,6.516713665491504,0.19020033615464696,5.075355892004154,0.0837140336865525,19.848362700164824,0.22760015066265976,25.79557859428618,58.40315260562725,36.54128233933194
cpu,32,6,6,3072,0.6894044313339691,0.19126821237532576,5.932097770000837,0.2178232597761659,0.2528170243337324,0.01297427272707676,6.505203262500193,0.12504912282429026,5.0472902828405495,0.11617216950835575,18.44744149899998,0.25381305163309453,27.75452628635549,62.623825347092136,32.156750681781055
cpu,64,2,5,2560,0.7454757354003959,0.13703027210875784,11.349736856600794,0.15974928135423117,0.27781959580170223,0.10605555219985666,6.211112905002665,0.1164350001585485,4.908321833201626,0.08626045947753543,23.508226434796235,0.2181614977300036,21.77960984934838,47.30018561394154,48.279851685456045
cpu,64,4,6,3072,0.6651716660004846,0.14645329379105188,7.584244941164798,0.2090523910701918,0.2793431680001959,0.0822925189324892,6.4541965666636925,0.08047288333917098,5.103401470675938,0.08686236077581476,20.103048889000394,0.2708873387687044,25.46877355902698,57.49176705063628,37.72683926225042
cpu,64,6,6,3072,0.7919820090003972,0.12307353904047531,5.760962934333899,0.0702995102869414,0.24871509016763108,0.010388667409553725,6.4338787341621355,0.10213820778403473,5.200631341996389,0.06718912233224816,18.452519321000484,0.2034390300655293,27.746888708974385,63.05106567707259,31.220468241306488
cuda,16,2,7,3584,0.7860579078561776,0.10643569024901471,11.276119503142711,0.18088765386125963,0.28611738628907396,0.0699770065968927,3.9876953415732714,0.15072922251565427,1.038119883287956,0.019484609501492025,17.409383222143724,0.3491336441101249,29.40942786237055,28.86842779397654,64.77035607327055
cuda,16,4,9,4608,0.7578636463327307,0.13745267358147203,7.2508805185538625,0.3495742051718377,0.2688254872223802,0.0221642647955097,4.047016955783572,0.15439660133026045,1.0477041755576566,0.034692773538981134,13.409945594665057,0.5058641350407276,38.180617243047685,37.99210888199342,54.07091674882346
cuda,16,6,9,4608,0.753629702332546,0.15014813058832294,5.781954099777471,0.2036616830231856,0.25740469533371246,0.012219157365917815,3.9706901740169593,0.1414263855021308,1.0216757810008454,0.02071970383661146,11.821951961000094,0.1845730447255479,43.309260745523,42.22962478182384,48.90862455584144
cuda,32,2,6,3072,0.7418191398343575,0.11820081149684693,11.574768115665696,0.299079613332815,0.2532148456678745,0.0102811388798812,3.8198879276593893,0.14966033045978522,0.6800816463401134,0.023956592589228557,17.099882902999525,0.3118633399102107,29.94172550211961,26.315791748551412,67.68916595116183
cuda,32,4,9,4608,0.7237050646646013,0.17659094722156446,7.410952617667338,0.5144302163492668,0.3075435926665604,0.09742301581198325,3.821586072895217,0.15675151310896795,0.6874880555519162,0.017860541545692898,12.983461719222154,0.7982689943991473,39.43478334764745,34.72936745191308,57.07994353074067
cuda,32,6,10,5120,0.7198717004997889,0.15922973460830972,5.901262353800121,0.2830710358730811,0.2547270587012463,0.005595787983298164,3.813647865488747,0.08901665274373048,0.6951526396056579,0.02443552026893833,11.415386417598347,0.3700056991601249,44.85174494055527,39.497572312957224,51.69568631248903
cuda,64,2,6,3072,0.7693156210007146,0.1204874671511957,12.297975772002246,0.3669088593962016,0.2234173898359586,0.010608388878470184,3.572345302835553,0.11812169505413826,0.5043490203352121,0.007708287091034878,17.395236752831504,0.3923092296235086,29.43334472965189,23.435693236582033,70.6973750730955
cuda,64,4,8,4096,0.7270462918750127,0.17515041252516933,7.2229203148745,0.3421649104581423,0.22665734799920756,0.007704097104576183,3.700512740497288,0.08832357907437485,0.516898860371839,0.004387259810531305,12.421632880375,0.37551537232305465,41.2184134671144,33.95215139172433,58.14791327705416
cuda,64,6,9,4608,0.7589615267764506,0.10780511242819181,5.831833511889272,0.12042345755545716,0.2633316958882561,0.07411005367104956,3.570650293446508,0.06040876673690212,0.5097423759879247,0.008213547415524257,10.965526751888522,0.23157927751108667,46.69178340309293,37.21109584390639,53.18334124610013
